Año,Periodo,Operador de red,Nivel,CU Total,"Costo Compra (Gm,i)",Cargo Transporte STN (Tm),"Cargo Transporte SDL (Dn,m)","Margen Comercialización (CVm,i,j)","Costo G, T, Pérdidas (PRn,m)",Restricciones (Rm),COT,"Cfm,j ($/fact.)"
2024,Octubre,CELSIA - Tolima,Nivel 1 ( Propiedad OR ),924.51,314.69,52.27,264.6,195.71,85.96,11.28,93.01,10079
2024,Octubre,CELSIA - Tolima,Nivel 1 (Propiedad Compartida),874.59,314.69,52.27,214.68,195.71,85.96,11.28,93.01,10079
2024,Octubre,CELSIA - Tolima,Nivel 1  (Propiedad Cliente),824.68,314.69,52.27,164.77,195.71,85.96,11.28,93.01,10079
2024,Octubre,CELSIA - Tolima,NIVEL II,681.09,314.69,52.27,165.33,99.7,37.82,11.28,0,10079
2024,Octubre,CELSIA - Tolima,NIVEL III,621.16,314.69,52.27,114.75,99.7,28.47,11.28,0,10079
2024,Octubre,EMCALI - Cali,Nivel 1 ( Propiedad OR ),755.33,357.4,52.27,257.25,21.01,65.56,1.56,0,8998
2024,Octubre,EMCALI - Cali,Nivel 1 (Propiedad Compartida),739.87,357.4,52.27,241.79,21.01,65.56,1.56,0,8998
2024,Octubre,EMCALI - Cali,Nivel 1  (Propiedad Cliente),724.41,357.4,52.27,226.34,21.01,65.56,1.56,0,8998
2024,Octubre,EMCALI - Cali,NIVEL II,617.84,357.4,52.27,156.92,21.01,28.39,1.56,0,8998
2024,Octubre,EMCALI - Cali,NIVEL III,549.64,357.4,52.27,91.2,21.01,25.01,1.56,0,8998
2024,Noviembre,ENEL Bogotá - Cundinamarca,Nivel 1 ( Propiedad OR ),815.65,367.28,55.37,263.15,54.91,70.5,4.44,30.33,9.742
2024,Noviembre,ENEL Bogotá - Cundinamarca,Nivel 1 (Propiedad Compartida),793.05,367.28,55.37,240.56,54.91,70.5,4.44,30.33,9.742
2024,Noviembre,ENEL Bogotá - Cundinamarca,Nivel 1  (Propiedad Cliente),770.46,367.28,55.37,217.96,54.91,70.5,4.44,30.33,9.742
2024,Noviembre,ENEL Bogotá - Cundinamarca,NIVEL II,691.63,367.28,55.37,170.73,70.7,23.11,4.44,46.12,9.742
2024,Noviembre,ENEL Bogotá - Cundinamarca,NIVEL III,632.35,367.28,55.37,115.89,66.88,22.49,4.44,42.3,9.742
2024,Noviembre,CELSIA - Valle del Cauca,Nivel 1 ( Propiedad OR ),845.47,369.77,55.37,265.73,81.31,68.84,4.44,53.13,16.043
2024,Noviembre,CELSIA - Valle del Cauca,Nivel 1 (Propiedad Compartida),811.14,369.77,55.37,231.4,81.31,68.84,4.44,53.13,16.043
2024,Noviembre,CELSIA - Valle del Cauca,Nivel 1  (Propiedad Cliente),776.81,369.77,55.37,197.07,81.31,68.84,4.44,53.13,16.043
2024,Noviembre,CELSIA - Valle del Cauca,NIVEL II,700.5,369.77,55.37,157.28,85.15,28.49,4.44,56.97,16.043
2024,Noviembre,CELSIA - Valle del Cauca,NIVEL III,605.45,369.77,55.37,92.38,59.32,24.17,4.44,31.14,16.043
2024,Noviembre,CELSIA - Tolima,Nivel 1 ( Propiedad OR ),912.02,312.89,55.37,263.15,193.62,85.31,1.68,92.66,10.079
2024,Noviembre,CELSIA - Tolima,Nivel 1 (Propiedad Compartida),861.9,312.89,55.37,213.03,193.62,85.31,1.68,92.66,10.079
2024,Noviembre,CELSIA - Tolima,Nivel 1  (Propiedad Cliente),811.78,312.89,55.37,162.91,193.62,85.31,1.68,92.66,10.079
2024,Noviembre,CELSIA - Tolima,NIVEL II,678.45,312.89,55.37,170.73,100.61,37.17,1.68,0,10.079
2024,Noviembre,CELSIA - Tolima,NIVEL III,614.25,312.89,55.37,115.89,100.61,27.8,1.68,0,10.079
2024,Noviembre,EMCALI - Cali,Nivel 1 ( Propiedad OR ),782.78,367.74,55.37,265.73,22.97,66.53,4.44,0,8.986
2024,Noviembre,EMCALI - Cali,Nivel 1 (Propiedad Compartida),767.24,367.74,55.37,250.2,22.97,66.53,4.44,0,8.986
2024,Noviembre,EMCALI - Cali,Nivel 1  (Propiedad Cliente),751.7,367.74,55.37,234.66,22.97,66.53,4.44,0,8.986
2024,Noviembre,EMCALI - Cali,NIVEL II,636.1,367.74,55.37,157.28,22.97,28.3,4.44,0,8.986
2024,Noviembre,EMCALI - Cali,NIVEL III,568.66,367.74,55.37,92.38,22.97,25.76,4.44,0,8.986
2024,Diciembre,ENEL Bogotá - Cundinamarca,Nivel 1 ( Propiedad OR ),812.67,345.07,58.19,280.72,56.01,67.72,4.96,30.87,9.769
2024,Diciembre,ENEL Bogotá - Cundinamarca,Nivel 1 (Propiedad Compartida),789.78,345.07,58.19,257.83,56.01,67.72,4.96,30.87,9.769
2024,Diciembre,ENEL Bogotá - Cundinamarca,Nivel 1  (Propiedad Cliente),766.9,345.07,58.19,234.95,56.01,67.72,4.96,30.87,9.769
2024,Diciembre,ENEL Bogotá - Cundinamarca,NIVEL II,673.27,345.07,58.19,174.68,67.86,22.51,4.96,42.72,9.769
2024,Diciembre,ENEL Bogotá - Cundinamarca,NIVEL III,605.18,345.07,58.19,117.64,57.42,21.9,4.96,32.28,9.769
2024,Diciembre,CELSIA - Valle del Cauca,Nivel 1 ( Propiedad OR ),823.22,346.87,58.19,264.32,82.84,66.04,4.96,54.29,16.086
2024,Diciembre,CELSIA - Valle del Cauca,Nivel 1 (Propiedad Compartida),788.6,346.87,58.19,229.7,82.84,66.04,4.96,54.29,16.086
2024,Diciembre,CELSIA - Valle del Cauca,Nivel 1  (Propiedad Cliente),753.98,346.87,58.19,195.08,82.84,66.04,4.96,54.29,16.086
2024,Diciembre,CELSIA - Valle del Cauca,NIVEL II,679.85,346.87,58.19,153.8,88.42,27.6,4.96,56.87,16.086
2024,Diciembre,CELSIA - Valle del Cauca,NIVEL III,588.54,346.87,58.19,93.58,61.47,23.47,4.96,32.92,16.086
2024,Diciembre,CELSIA - Tolima,Nivel 1 ( Propiedad OR ),933.07,312.79,58.19,280.72,193.47,86.23,1.67,93.21,10.093
2024,Diciembre,CELSIA - Tolima,Nivel 1 (Propiedad Compartida),882.52,312.79,58.19,230.16,193.47,86.23,1.67,93.21,10.093
2024,Diciembre,CELSIA - Tolima,Nivel 1  (Propiedad Cliente),831.96,312.79,58.19,179.61,193.47,86.23,1.67,93.21,10.093
2024,Diciembre,CELSIA - Tolima,NIVEL II,685.11,312.79,58.19,174.68,100.08,37.71,1.67,0,10.093
2024,Diciembre,CELSIA - Tolima,NIVEL III,618.64,312.79,58.19,117.64,100.08,28.27,1.67,0,10.093
2024,Diciembre,EMCALI - Cali,Nivel 1 ( Propiedad OR ),760.12,345.41,58.19,264.32,23.31,63.92,4.96,0,9.01
2024,Diciembre,EMCALI - Cali,Nivel 1 (Propiedad Compartida),744.41,345.41,58.19,248.62,23.31,63.92,4.96,0,9.01
2024,Diciembre,EMCALI - Cali,Nivel 1  (Propiedad Cliente),728.7,345.41,58.19,232.91,23.31,63.92,4.96,0,9.01
2024,Diciembre,EMCALI - Cali,NIVEL II,613.14,345.41,58.19,153.8,23.31,27.47,4.96,0,9.01
2024,Diciembre,EMCALI - Cali,NIVEL III,550.49,345.41,58.19,93.58,23.31,25.04,4.96,0,9.01
