Año,Periodo,Operador de red,Nivel,CU Total,"Costo Compra (Gm,i)",Cargo Transporte STN (Tm),"Cargo Transporte SDL (Dn,m)","Margen Comercialización (CVm,i,j)","Costo G, T, Pérdidas (PRn,m)",Restricciones (Rm),COT,"Cfm,j ($/fact.)"
2024,Febrero,CELSIA - Valle del Cauca,Nivel 1 (Propiedad Compartida),834.73,293.46,49.2,243.13,181.34,57.43,10.17,0,15.361
2024,Febrero,CELSIA - Valle del Cauca,Nivel 1  (Propiedad Cliente),798.3,293.46,49.2,206.7,181.34,57.43,10.17,0,15.361
2024,Febrero,CELSIA - Valle del Cauca,NIVEL II,722.54,293.46,49.2,163.81,181.03,24.87,10.17,0,15.361
2024,Febrero,CELSIA - Valle del Cauca,NIVEL III,624.62,293.46,49.2,97.6,152.84,21.36,10.17,0,15.361
2024,Febrero,CELSIA - Tolima,Nivel 1 ( Propiedad OR ),878.96,293.46,49.2,253.04,190,83.1,10.17,0,9.639
2024,Febrero,CELSIA - Tolima,Nivel 1 (Propiedad Compartida),826.83,293.46,49.2,200.91,190,83.1,10.17,0,9.639
2024,Febrero,CELSIA - Tolima,Nivel 1  (Propiedad Cliente),774.7,293.46,49.2,148.78,190,83.1,10.17,0,9.639
2024,Febrero,CELSIA - Tolima,NIVEL II,650.27,293.46,49.2,161.69,99.58,36.18,10.17,0,9.639
2024,Febrero,CELSIA - Tolima,NIVEL III,593.34,293.46,49.2,114.02,99.58,26.92,10.17,0,9.639
2024,Febrero,EMCALI - Cali,Nivel 1 ( Propiedad OR ),758.19,293.46,49.2,279.57,68.14,56.85,10.98,0,8.604
2024,Febrero,EMCALI - Cali,Nivel 1 (Propiedad Compartida),736.67,293.46,49.2,258.05,68.14,56.85,10.98,0,8.604
2024,Febrero,EMCALI - Cali,Nivel 1  (Propiedad Cliente),715.16,293.46,49.2,236.53,68.14,56.85,10.98,0,8.604
2024,Febrero,EMCALI - Cali,NIVEL II,610.29,293.46,49.2,163.81,68.14,24.7,10.98,0,8.604
2024,Febrero,EMCALI - Cali,NIVEL III,541.93,293.46,49.2,97.6,68.14,22.56,10.98,0,8.604
2024,Marzo,ENEL Bogotá - Cundinamarca,Nivel 1 ( Propiedad OR ),797.16,295.82,57.43,268.05,106.74,59.39,9.72,0,9.414
2024,Marzo,ENEL Bogotá - Cundinamarca,Nivel 1 (Propiedad Compartida),774.09,295.82,57.43,244.99,106.74,59.39,9.72,0,9.414
2024,Marzo,ENEL Bogotá - Cundinamarca,Nivel 1  (Propiedad Cliente),751.03,295.82,57.43,221.93,106.74,59.39,9.72,0,9.414
2024,Marzo,ENEL Bogotá - Cundinamarca,NIVEL II,668.3,295.82,57.43,169.41,116.1,19.82,9.72,0,9.414
2024,Marzo,ENEL Bogotá - Cundinamarca,NIVEL III,609.82,295.82,57.43,117.47,109.99,19.39,9.72,0,9.414
2024,Marzo,CELSIA - Valle del Cauca,Nivel 1 ( Propiedad OR ),874.75,295.82,57.43,282.04,171.47,58.46,9.52,0,15.502
2024,Marzo,CELSIA - Valle del Cauca,Nivel 1 (Propiedad Compartida),838.24,295.82,57.43,245.54,171.47,58.46,9.52,0,15.502
2024,Marzo,CELSIA - Valle del Cauca,Nivel 1  (Propiedad Cliente),801.74,295.82,57.43,209.04,171.47,58.46,9.52,0,15.502
2024,Marzo,CELSIA - Valle del Cauca,NIVEL II,731.15,295.82,57.43,166.49,176.93,24.96,9.52,0,15.502
2024,Marzo,CELSIA - Valle del Cauca,NIVEL III,616.7,295.82,57.43,97.78,134.81,21.34,9.52,0,15.502
2024,Marzo,CELSIA - Tolima,Nivel 1 ( Propiedad OR ),905.55,295.82,57.43,268.05,190,84.72,9.52,0,9.727
2024,Marzo,CELSIA - Tolima,Nivel 1 (Propiedad Compartida),853.3,295.82,57.43,215.81,190,84.72,9.52,0,9.727
2024,Marzo,CELSIA - Tolima,Nivel 1  (Propiedad Cliente),801.06,295.82,57.43,163.57,190,84.72,9.52,0,9.727
2024,Marzo,CELSIA - Tolima,NIVEL II,669.37,295.82,57.43,169.41,100.73,36.46,9.52,0,9.727
2024,Marzo,CELSIA - Tolima,NIVEL III,607.92,295.82,57.43,117.47,100.73,26.95,9.52,0,9.727
2024,Marzo,EMCALI - Cali,Nivel 1 ( Propiedad OR ),772.47,295.82,57.43,282.04,67.93,57.88,11.37,0,8.683
2024,Marzo,EMCALI - Cali,Nivel 1 (Propiedad Compartida),750.9,295.82,57.43,260.47,67.93,57.88,11.37,0,8.683
2024,Marzo,EMCALI - Cali,Nivel 1  (Propiedad Cliente),729.32,295.82,57.43,238.9,67.93,57.88,11.37,0,8.683
2024,Marzo,EMCALI - Cali,NIVEL II,623.83,295.82,57.43,166.49,67.93,24.8,11.37,0,8.683
2024,Marzo,EMCALI - Cali,NIVEL III,552.9,295.82,57.43,97.78,67.93,22.58,11.37,0,8.683
2024,Abril,ENEL Bogotá - Cundinamarca,Nivel 1 ( Propiedad OR ),802.68,346.81,54.27,266.13,59.23,67.93,8.31,32.69,9.56
2024,Abril,ENEL Bogotá - Cundinamarca,Nivel 1 (Propiedad Compartida),780.27,346.81,54.27,243.72,59.23,67.93,8.31,32.69,9.56
2024,Abril,ENEL Bogotá - Cundinamarca,Nivel 1  (Propiedad Cliente),757.85,346.81,54.27,221.3,59.23,67.93,8.31,32.69,9.56
2024,Abril,ENEL Bogotá - Cundinamarca,NIVEL II,669.64,346.81,54.27,164.65,72.81,22.79,8.31,46.27,9.56
2024,Abril,ENEL Bogotá - Cundinamarca,NIVEL III,598.57,346.81,54.27,111.39,55.51,22.28,8.31,28.97,9.56
2024,Abril,CELSIA - Valle del Cauca,Nivel 1 ( Propiedad OR ),818.78,349.91,54.27,254.7,84.36,67.23,8.31,52.73,15.742
2024,Abril,CELSIA - Valle del Cauca,Nivel 1 (Propiedad Compartida),783.86,349.91,54.27,219.78,84.36,67.23,8.31,52.73,15.742
